"Package","Built"
"assertthat","3.3.3"
"backports","3.3.3"
"base64enc","3.3.2"
"BH","3.3.3"
"bindr","3.3.3"
"bindrcpp","3.3.3"
"bit","3.3.2"
"bit64","3.3.3"
"bitops","3.3.2"
"blob","3.3.3"
"broom","3.3.3"
"bubbles","3.3.2"
"callr","3.3.3"
"caTools","3.3.2"
"cellranger","3.3.3"
"chron","3.3.3"
"cli","3.3.3"
"clipr","3.4.3"
"clisymbols","3.4.3"
"colorspace","3.3.2"
"crayon","3.3.3"
"crosstalk","3.3.2"
"curl","3.3.3"
"data.table","3.3.3"
"DBI","3.3.3"
"dbplyr","3.4.3"
"debugme","3.3.3"
"desc","3.4.3"
"devtools","3.3.3"
"dichromat","3.3.2"
"digest","3.4.3"
"doParallel","3.3.3"
"dplyr","3.3.3"
"DT","3.3.2"
"dygraphs","3.3.2"
"elasticsearchr","3.3.3"
"enc","3.4.3"
"evaluate","3.3.3"
"flexdashboard","3.3.3"
"forcats","3.3.2"
"foreach","3.3.3"
"formatR","3.3.3"
"fs","3.4.3"
"gapminder","3.3.3"
"geojson","3.3.3"
"geojsonio","3.3.3"
"geosphere","3.3.3"
"ggmap","3.3.3"
"ggplot2","3.3.3"
"ggthemes","3.3.3"
"gh","3.4.3"
"git2r","3.3.3"
"glue","3.3.3"
"googlesheets","3.3.3"
"gridBase","3.3.2"
"gridExtra","3.3.3"
"gsubfn","3.3.2"
"gtable","3.3.2"
"haven","3.3.3"
"hexbin","3.3.3"
"highcharter","3.3.2"
"highr","3.3.2"
"hms","3.3.3"
"htmltools","3.3.3"
"htmlwidgets","3.3.3"
"httpuv","3.3.3"
"httr","3.3.3"
"igraph","3.3.3"
"ini","3.4.3"
"irlba","3.3.3"
"iterators","3.3.3"
"jpeg","3.3.2"
"jqr","3.3.3"
"jsonlite","3.3.3"
"knitr","3.3.3"
"labeling","3.3.2"
"Lahman","3.3.3"
"lazyeval","3.3.3"
"leaflet","3.3.3"
"lpSolve","3.3.2"
"lubridate","3.3.3"
"magrittr","3.3.2"
"mapdata","3.3.3"
"mapproj","3.3.3"
"maps","3.3.3"
"maptools","3.3.3"
"markdown","3.3.3"
"memoise","3.3.3"
"mime","3.3.2"
"mnormt","3.3.2"
"modelr","3.3.3"
"munsell","3.3.2"
"NMF","3.3.2"
"nycflights13","3.3.2"
"openssl","3.3.3"
"packrat","3.3.2"
"pacman","3.3.3"
"pillar","3.3.3"
"pkgconfig","3.3.3"
"pkgmaker","3.3.2"
"PKI","3.3.3"
"plogr","3.3.2"
"plotly","3.3.3"
"plyr","3.3.2"
"png","3.3.2"
"praise","3.3.3"
"proto","3.3.2"
"protolite","3.3.3"
"psych","3.3.3"
"purrr","3.3.3"
"quantmod","3.3.3"
"R6","3.3.3"
"raster","3.3.3"
"RColorBrewer","3.3.2"
"Rcpp","3.3.3"
"RCurl","3.3.3"
"readr","3.3.3"
"readxl","3.3.3"
"registry","3.3.3"
"rematch","3.3.3"
"rematch2","3.4.3"
"reprex","3.3.3"
"reshape","3.3.3"
"reshape2","3.3.3"
"rgdal","3.3.3"
"rgeos","3.3.3"
"RgoogleMaps","3.3.3"
"rJava","3.3.3"
"rjson","3.3.2"
"RJSONIO","3.3.2"
"rlang","3.4.3"
"rlist","3.3.2"
"rmarkdown","3.4.3"
"rngtools","3.3.2"
"RODBC","3.3.3"
"rprojroot","3.3.2"
"rsconnect","3.4.3"
"RSocrata","3.3.3"
"RSQLite","3.3.3"
"rstudioapi","3.3.2"
"rvest","3.3.2"
"sampling","3.3.2"
"scales","3.4.3"
"selectr","3.3.2"
"shiny","3.4.3"
"shinydashboard","3.4.3"
"sourcetools","3.4.3"
"sp","3.4.3"
"sqldf","3.4.3"
"stringdist","3.4.3"
"stringi","3.4.2"
"stringr","3.3.2"
"styler","3.4.3"
"tibble","3.4.3"
"tidyr","3.4.3"
"tidyselect","3.4.3"
"tidyverse","3.4.3"
"TTR","3.3.3"
"usethis","3.4.3"
"utf8","3.4.3"
"V8","3.3.3"
"viridis","3.4.3"
"viridisLite","3.4.3"
"whisker","3.3.3"
"withr","3.4.3"
"XLConnect","3.3.3"
"XLConnectJars","3.3.3"
"xlsx","3.3.2"
"xlsxjars","3.3.2"
"XML","3.3.3"
"xml2","3.4.3"
"xtable","3.3.2"
"xts","3.4.3"
"yaml","3.4.3"
"zoo","3.4.3"
